Deustches Wort;Mot français
die Gegenwart;le présent
der Unterschied;la différence
die Vergangenheit;le passé
die Zukunft;le futur
hartnäckige;têtu / persistant
der Wissenschaftler;le scientifique
das Vertrauen;la confiance
verlaufen;fuir
ewig;éternel
gleichförmig;uniforme
das Voranschreiten;le cheminement
die Unendlichkeit;l'infinité
die Unterscheidung;la distinction
aufeinander;l'un sur l'autre
der Kreis;le cercle
miteinander;ensemble
verbunden;obligé/lié
unheilvoll;funeste
der Klang;la sonorité
das Krachen;le bruit
das Röcheln;le râle
keuchen;haleter
erleichtern;alléger
aufatmen;respirer
das Geheimnis;le secret
das Klicken;le clic
der Strohm;le fleuve
wieder gehen;remarcher
seufzen;soupirer
leise;doucement
die Versammlung;la réunion
fallen;tomber
vermisst;disparu
sich winden;se contorsionner
die Höhle;la grotte
dröhnen;résonner
surren;bourdonner
schwamm drüber;sans rancune
der Bericht;le rapport
mitmachen;jouer le jeu
die Sitzung;la séance
ruhig;tranquille
verstummen;se taire
der Nachrichtensprecher;le présentateur
die Errichtung;l'édification
das Kraftwerk;la centrale électrique
bereits;déjà/dès
geschmiedet werden;se tramer
allerdings;cependant/toujours est-il
das Gesetz;la loi
jemandem etwas bewilligen;attribuer quelque chose à quelqu'un
im Zuge;au cours de
sich kümmern;se soucier
aufbereiten;préparer (quelque chose de vieux apparaît comme neuf)
verkaufen;vendre
verwenden;utiliser
erreichen;atteindre
einstellen;ajuster
sich verändern;se transformer
die Wirtschaft;l'économie
das Dienstleistungsunternehmen;la société de service
die Auskunft;l'information
das Ziel;l'objectif
schrittweise;progressivement
versteckt;caché
ziemlich;plutôt
die Schätzung;l'estimation
entdecken;constater
ausrücken;sortir
versuchen;tenter
die Verfügung;la décision
zur Verfügung zu stellen;mettre à la disposition
zumindest;au moins
die Beziehung;la relation
Was hältst du davon?;Qu'en penses-tu ?
die Herkunft;la provenance
die Umleitung;la déviation
entfernen;enlever
der Ursprung;la source
einsetzen;commencer (aussi)
ebenfalls;aussi
am liebsten;de préférence
eigentlich;en fait
schlendern;flâner
sonst;sinon
besonders;surtout
angenehm;agréable
bequem;confortable
das Einkaufen;le shopping
der Schritt;le pas
die Zahl;le nombre (à deux chiffres)
die Anzahl;le nombre (total)
der Kranz;la couronne
der König;le roi
die Nuss;la noix / la noisette
das Wörterbuch;le dictionnaire
die Backstube;l'atelier de boulangerie
riechen;sentir (odorat)
der Geschmack;la saveur
vorbereiten;préparer
die Vorstellung;le spectacle
wechseln;alterner
die Hose;le pantalon
geradeaus;tout droit
gerade;droit / tout à l'heure (il y a peu de temps)
sofort;tout de suite
schlagfertig sein;avoir de la répartie
der Lärm;le bruit
die Spucke;la salive
erraten;deviner
voll;complètement
ankleiden;habiller
aufholen;se rattraper
holen;aller chercher
die Hochzeit;le mariage (fête)
die Ehe;le mariage (années de mariage)
bevor / ehe;avant que
davor;devant
dahinter;derrière
oben;en haut
hinunter;en bas
après que;nachdem
die Anleitung;la description (explication)
fliesen;carreler
harmlos;inoffensif
arm;pauvre
reich;riche
derselbe;le même
dunkel;foncé / sombre
ausserdem;en plus
anhalten;s'arrêter (en voiture)
herausfinden;découvrir
der Schmerz;la douleur
schmerzlos;indolore
jemanden entlassen;licencier quelqu'un
jemanden anwerben;recruter quelqu'un
dicht;dense
unterschreiben;signer
wegen;à cause de
dank;grâce à
erledigt;claqué (fatigué)
drosseln;réduire
ansteigen;augmenter
somit;par conséquent
stolz;fier
die Scham;la honte
der Stolz;la fierté
die Überraschung;la surprise
die Angst;la peur
die Freude;la joie
die Freudlosigkeit;la tristesse
froh;heureux
zurückgeben;restituer
zeichnen;dessiner
laufen;marcher / courir
das Gericht;le plat
kriechen;ramper
mein Schatz;mon chéri
notfalls;si besoin est
unbedingt;absolument
ersetzen;rembourser
verborgen;prêter
kaum;à peine
der Auftrag;la commande
bekommen;recevoir
werden;devenir
gemischt;mélangé
die Wunde;la blessure
sich verletzen;se blesser
der Weg;le trajet
damit;afin que
der Keks;le gâteau
die Schwiegermutter;la belle-mère
schneiden;couper
abschliessen;terminer
gleiten;glisser
vorab;au préalable
die Seite;la page
empfehlen;conseiller
verlässlich;fiable
der Ausbau;l'agrandissement
erneuerbar Energie;énergie renouvelable
die Stelle;l'endroit
der Ober;le serveur (restaurant)
der Beitrag;la contribution
der Schutz;la protection
der Beweis;la preuve
der Nachweis;la justification
aufgrund von etwas;en raison de
der Anteil;la part
die Erstellung;la fabrication
unabhängig;autonome
der Prüfer;le vérifieur
prüfen;tester
der Grund;la cause
die Anpassung;l'ajustement
die Laufzeit;la durée de vie
der Wert;la valeur
Geld ausgeben;dépenser de l'argent
ändern;modifier
der Zeitraum;la période
versorgen;soigner
der Bereich;le secteur
die Auswahl;la sélection
umziehen / ausziehen;déménager
demnächst;prochainement
der Blick;le regard
stets;constamment
der Umzug;le déménagement
die Unterlagen;les documents
jemanden vorstellen;présenter quelqu'un
bezahlen;payer
bestätigen;confirmer
verantwortlich;responsable
die Stimmung;l'atmosphère
die Zustimmung;l'acquiescement
liefern;fournir
der Bedarf;le besoin
annehmen;accepter
die Lösung;la solution
die Angabe / die Eingabe;la donnée
der Fall;le cas
falls;au cas où
günstig;avantageux
gesamt;entier
der Lohn;le salaire
zusätzlich;additionnel
das Versprechen;la promesse
versprechen;promettre
auswählen;sélectionner
die Vorwahl;l'indicatif téléphonique
die Anmerkung;la remarque
bemerken;remarquer
besitzen;posséder
die Überprüfung;la révision
der Hinweis;l'indication
jemandem etwas mitteilen;communiquer quelque chose à quelqu'un
teilen;diviser
die Anmeldung;l'inscription
die Abmeldung;la désinscription
der Zähler;le compteur (électrique)
der Zählerstand;la consommation électrique
bekanntgeben;faire savoir
